time,x,y,z
8.032,-0.9446515495,-1.639303099,1
8.033,-0.9444452272,-1.6388904544,1
8.034,-0.9442385321,-1.6384770641,1
8.035,-0.9440314641,-1.6380629283,1
8.036,-0.9438240235,-1.6376480471,1
8.037,-0.9436162103,-1.6372324207,1
8.038,-0.9434080246,-1.6368160492,1
8.039,-0.9431994664,-1.6363989329,1
8.04,-0.9429905359,-1.6359810718,1
8.041,-0.9427812331,-1.6355624662,1
8.042,-0.9425715581,-1.6351431161,1
8.043,-0.942361511,-1.6347230219,1
8.044,-0.9421510918,-1.6343021836,1
8.045,-0.9419403007,-1.6338806014,1
8.046,-0.9417291378,-1.6334582755,1
8.047,-0.941517603,-1.633035206,1
8.048,-0.9413056966,-1.6326113932,1
8.049,-0.9410934185,-1.6321868371,1
8.05,-0.940880769,-1.6317615379,1
8.051,-0.9406677479,-1.6313354959,1
8.052,-0.9404543556,-1.6309087111,1
8.053,-0.9402405919,-1.6304811838,1
8.054,-0.940026457,-1.6300529141,1
8.055,-0.9398119511,-1.6296239022,1
8.056,-0.9395970741,-1.6291941482,1
8.057,-0.9393818262,-1.6287636524,1
8.058,-0.9391662074,-1.6283324148,1
8.059,-0.9389502179,-1.6279004358,1
8.06,-0.9387338577,-1.6274677153,1
8.061,-0.9385171268,-1.6270342537,1
8.062,-0.9383000255,-1.626600051,1
8.063,-0.9380825537,-1.6261651075,1
8.064,-0.9378647116,-1.6257294233,1
8.065,-0.9376464993,-1.6252929986,1
8.066,-0.9374279168,-1.6248558336,1
8.067,-0.9372089642,-1.6244179284,1
8.068,-0.9369896416,-1.6239792832,1
8.069,-0.9367699491,-1.6235398982,1
8.07,-0.9365498867,-1.6230997735,1
8.071,-0.9363294547,-1.6226589094,1
8.072,-0.936108653,-1.622217306,1
8.073,-0.9358874817,-1.6217749634,1
8.074,-0.935665941,-1.6213318819,1
8.075,-0.9354440308,-1.6208880617,1
8.076,-0.9352217514,-1.6204435028,1
8.077,-0.9349991028,-1.6199982055,1
8.078,-0.934776085,-1.61955217,1
8.079,-0.9345526982,-1.6191053964,1
8.08,-0.9343289425,-1.6186578849,1
8.081,-0.9341048179,-1.6182096357,1
8.082,-0.9338803245,-1.617760649,1
8.083,-0.9336554624,-1.6173109249,1
8.084,-0.9334302318,-1.6168604636,1
8.085,-0.9332046326,-1.6164092653,1
8.086,-0.9329786651,-1.6159573301,1
8.087,-0.9327523292,-1.6155046584,1
8.088,-0.9325256251,-1.6150512501,1
8.089,-0.9322985528,-1.6145971056,1
8.09,-0.9320711125,-1.6141422249,1
8.091,-0.9318433042,-1.6136866083,1
8.092,-0.931615128,-1.613230256,1
8.093,-0.931386584,-1.6127731681,1
8.094,-0.9311576724,-1.6123153448,1
8.095,-0.9309283931,-1.6118567862,1
8.096,-0.9306987463,-1.6113974927,1
8.097,-0.9304687321,-1.6109374643,1
8.098,-0.9302383506,-1.6104767012,1
8.099,-0.9300076018,-1.6100152036,1
8.1,-0.9297764859,-1.6095529718,1
8.101,-0.9295450029,-1.6090900058,1
8.102,-0.9293131529,-1.6086263059,1
8.103,-0.9290809361,-1.6081618722,1
8.104,-0.9288483525,-1.6076967049,1
8.105,-0.9286154021,-1.6072308043,1
8.106,-0.9283820852,-1.6067641704,1
8.107,-0.9281484018,-1.6062968036,1
8.108,-0.9279143519,-1.6058287039,1
8.109,-0.9276799357,-1.6053598715,1
8.11,-0.9274451533,-1.6048903067,1
8.111,-0.9272100048,-1.6044200096,1
8.112,-0.9269744902,-1.6039489804,1
